iter	Passed	Remaining
634	1558	896
635	1561	893
636	1562	890
637	1564	887
638	1565	884
639	1567	881
640	1568	878
641	1569	874
642	1570	871
643	1572	869
644	1575	866
645	1576	863
646	1577	860
647	1579	857
648	1580	854
649	1581	851
650	1582	848
651	1583	845
652	1584	842
653	1585	838
654	1588	836
655	1590	833
656	1591	830
657	1593	828
658	1594	825
659	1595	821
660	1596	818
661	1597	815
662	1598	812
663	1599	809
664	1601	806
665	1605	805
666	1608	802
667	1611	800
668	1613	798
669	1614	795
670	1615	792
671	1619	790
672	1620	787
673	1622	784
674	1623	781
675	1624	778
676	1625	775
677	1626	772
678	1627	769
679	1628	766
680	1630	763
681	1634	761
682	1635	759
683	1636	756
684	1638	753
685	1639	750
686	1641	747
687	1642	744
688	1643	741
689	1644	738
690	1648	737
691	1650	734
692	1651	731
693	1653	729
694	1654	726
695	1655	723
696	1656	720
697	1657	717
698	1658	714
699	1660	711
700	1663	709
701	1664	706
702	1666	704
703	1667	701
704	1668	698
705	1669	695
706	1671	692
707	1672	689
708	1673	686
709	1674	683
710	1677	681
711	1678	678
712	1679	676
713	1680	673
714	1681	670
715	1682	667
716	1683	664
717	1684	661
718	1685	658
719	1686	656
720	1687	653
721	1691	651
722	1692	648
723	1693	645
724	1694	642
725	1696	640
726	1697	637
727	1698	634
728	1699	631
729	1700	628
730	1701	626
731	1702	623
732	1703	620
733	1706	618
734	1708	616
735	1709	613
736	1711	610
737	1712	608
738	1713	605
739	1714	602
740	1715	599
741	1716	596
742	1717	594
743	1721	592
744	1722	589
745	1723	586
746	1724	584
747	1725	581
748	1726	578
749	1727	575
750	1728	573
751	1729	570
752	1730	567
753	1731	565
754	1732	562
755	1735	560
756	1736	557
757	1737	554
758	1738	552
759	1740	549
760	1742	547
761	1743	544
762	1744	541
763	1745	539
764	1746	536
765	1747	533
766	1750	531
767	1751	529
768	1752	526
769	1753	523
770	1754	521
771	1755	518
772	1756	515
773	1757	513
774	1759	510
775	1760	508
776	1761	505
777	1762	502
778	1765	500
779	1766	498
780	1767	495
781	1768	493
782	1769	490
783	1771	487
784	1772	485
785	1773	482
786	1774	480
787	1775	477
788	1776	475
789	1777	472
790	1779	470
791	1781	467
792	1782	465
793	1783	462
794	1784	460
795	1785	457
796	1786	455
797	1788	452
798	1789	450
799	1790	447
800	1791	445
801	1792	442
802	1795	440
803	1796	438
804	1798	435
805	1799	433
806	1801	430
807	1802	428
808	1803	425
809	1804	423
810	1805	420
811	1806	418
812	1807	415
813	1810	413
814	1811	411
815	1812	408
816	1813	406
817	1814	403
818	1815	401
819	1816	398
820	1818	396
821	1819	393
822	1820	391
823	1821	389
824	1824	386
825	1825	384
826	1826	382
827	1827	379
828	1828	377
829	1829	374
830	1831	372
831	1832	370
832	1833	367
833	1834	365
834	1835	362
835	1836	360
836	1839	358
837	1840	355
838	1841	353
839	1843	351
840	1844	348
841	1845	346
842	1846	343
843	1847	341
844	1848	339
845	1849	336
846	1850	334
847	1851	331
848	1854	329
849	1855	327
850	1856	325
851	1857	322
852	1858	320
853	1859	317
854	1860	315
855	1862	313
856	1864	311
857	1866	308
858	1867	306
859	1869	304
860	1871	302
861	1872	299
862	1873	297
863	1876	295
864	1877	293
865	1878	290
866	1882	288
867	1883	286
868	1884	284
869	1886	281
870	1887	279
871	1888	277
872	1889	274
873	1890	272
874	1891	270
875	1892	267
876	1894	265
877	1896	263
878	1897	261
879	1898	258
880	1899	256
881	1900	254
882	1902	252
883	1903	249
884	1904	247
885	1905	245
886	1906	242
887	1907	240
888	1908	238
889	1911	236
890	1912	233
891	1913	231
892	1914	229
893	1915	227
894	1916	224
895	1917	222
896	1918	220
897	1919	218
898	1920	215
899	1921	213
900	1922	211
901	1925	209
902	1927	207
903	1928	204
904	1929	202
905	1930	200
906	1931	198
907	1932	195
908	1933	193
909	1934	191
910	1935	189
911	1937	186
912	1938	184
913	1940	182
914	1941	180
915	1942	178
916	1944	175
917	1945	173
918	1946	171
919	1947	169
920	1948	167
921	1949	164
922	1950	162
923	1951	160
924	1952	158
925	1953	156
926	1955	154
927	1957	151
928	1958	149
929	1959	147
930	1960	145
931	1961	143
932	1962	140
933	1963	138
934	1964	136
935	1965	134
936	1966	132
937	1967	130
938	1971	128
939	1973	125
940	1974	123
941	1975	121
942	1977	119
943	1978	117
944	1979	115
945	1981	113
946	1982	110
947	1986	108
948	1988	106
949	1989	104
950	1991	102
951	1992	100
952	1993	98
953	1994	96
954	1995	94
955	1996	91
956	1998	89
957	2000	87
958	2001	85
959	2002	83
960	2003	81
961	2004	79
962	2006	77
963	2007	74
964	2008	72
965	2009	70
966	2010	68
967	2011	66
968	2013	64
969	2015	62
970	2016	60
971	2017	58
972	2018	56
973	2019	53
974	2020	51
975	2021	49
976	2022	47
977	2023	45
978	2025	43
979	2026	41
980	2027	39
981	2029	37
982	2030	35
983	2031	33
984	2033	30
985	2034	28
986	2035	26
987	2036	24
988	2037	22
989	2038	20
990	2039	18
991	2040	16
992	2041	14
993	2044	12
994	2045	10
995	2047	8
996	2048	6
997	2049	4
998	2051	2
999	2053	0
